time,open,high,low,close,tick_volume,spread
1514851200,1.09581,1.10091,1.09581,1.10058,453,50
1514854800,1.09997,1.10205,1.09913,1.10005,2024,75
1514858400,1.10005,1.10045,1.09907,1.0997,892,45
1514862000,1.09971,1.1011,1.0995,1.10066,1412,45
1514865600,1.10063,1.10109,1.10022,1.10046,1245,45
1514869200,1.10047,1.10094,1.10003,1.10091,891,50
1514872800,1.10092,1.10114,1.10047,1.10111,1015,50
1514876400,1.10102,1.10169,1.10018,1.10078,1435,15
1514880000,1.10057,1.101,1.09969,1.10036,5464,4
1514883600,1.10036,1.10095,1.1,1.10027,4552,6
1514887200,1.10031,1.10072,1.09959,1.10005,3501,7
1514890800,1.10004,1.1014599999999999,1.09993,1.10065,3804,4
1514894400,1.10067,1.10086,1.1001,1.10066,4156,7
1514898000,1.10067,1.10118,1.10035,1.10061,4279,6
1514901600,1.10059,1.102,1.09973,1.09996,3884,4
1514905200,1.09996,1.10059,1.09961,1.09987,4195,6
1514908800,1.09987,1.101,1.09914,1.1006,6415,4
1514912400,1.1006,1.1020699999999999,1.1006,1.10134,8025,7
1514916000,1.1013600000000001,1.10161,1.1009,1.10096,7073,5
1514919600,1.10097,1.10154,1.10087,1.1015,4617,8
1514923200,1.10143,1.10174,1.10127,1.1014,1761,9
1514926800,1.10139,1.10182,1.10118,1.10153,1602,9
1514930400,1.10155,1.10195,1.1011,1.10185,2473,9
1514934000,1.10186,1.10236,1.10104,1.10104,1160,12
1514937600,1.10104,1.10246,1.10023,1.10218,1188,20
1514941200,1.10202,1.10333,1.10202,1.10308,2850,5
1514944800,1.10306,1.10358,1.10241,1.10302,2895,10
1514948400,1.10302,1.10385,1.10269,1.10304,5199,7
1514952000,1.10302,1.10416,1.10286,1.10321,6661,4
1514955600,1.10315,1.1036299999999999,1.10232,1.1026,5038,4
1514959200,1.1026,1.10285,1.10167,1.10198,3602,4
1514962800,1.10198,1.10256,1.1015,1.10205,3581,4
1514966400,1.10204,1.10234,1.10124,1.10151,4428,8
1514970000,1.1015,1.10206,1.10101,1.10169,4877,6
1514973600,1.10168,1.1028,1.10147,1.10264,4818,5
1514977200,1.10262,1.10324,1.10242,1.10299,4342,5
1514980800,1.10298,1.10304,1.10172,1.10206,5241,7
1514984400,1.1020699999999999,1.10266,1.10167,1.10218,4418,5
1514988000,1.10219,1.10411,1.10219,1.10324,4310,4
1514991600,1.10326,1.10418,1.10302,1.10333,5023,4
1514995200,1.10333,1.10525,1.10332,1.1047,6646,4
1514998800,1.10457,1.10507,1.1032,1.10388,8014,5
1515002400,1.10387,1.10434,1.10335,1.10352,4810,6
1515006000,1.10353,1.1038000000000001,1.10309,1.10358,2895,4
1515009600,1.1036,1.10402,1.1033,1.10354,1381,9
1515013200,1.10362,1.10432,1.10329,1.10351,3669,12
1515016800,1.10357,1.10461,1.10333,1.10448,1898,9
1515020400,1.10448,1.10511,1.10401,1.10429,1189,6
1515024000,1.10429,1.10492,1.10375,1.10398,1531,9
1515027600,1.104,1.10437,1.10374,1.1042399999999999,2226,12
1515031200,1.10425,1.10501,1.10377,1.10406,3443,5
1515034800,1.10407,1.10494,1.10385,1.10416,4636,8
1515038400,1.10414,1.10459,1.10334,1.1034,4208,7
1515042000,1.1034,1.10417,1.10298,1.10314,3501,6
1515045600,1.10315,1.10329,1.10261,1.10284,2662,6
1515049200,1.10284,1.10328,1.10247,1.10327,3294,9
1515052800,1.10326,1.10382,1.1021,1.10229,6059,8
1515056400,1.10229,1.1025800000000001,1.10158,1.10234,6046,6
1515060000,1.10238,1.10246,1.10131,1.1013600000000001,4587,4
1515063600,1.1013600000000001,1.10163,1.10083,1.10124,4244,4
1515067200,1.10123,1.10201,1.10093,1.10195,4279,8
1515070800,1.10195,1.10198,1.10041,1.1013,4790,9
1515074400,1.1013,1.10139,1.09996,1.1002,4096,6
1515078000,1.10017,1.10048,1.09915,1.09987,8175,6
1515081600,1.09987,1.10087,1.09986,1.10038,5563,7
1515085200,1.10038,1.10051,1.09911,1.09946,7381,7
1515088800,1.09945,1.0996299999999999,1.09911,1.09938,5586,7
1515092400,1.09938,1.09971,1.09886,1.0993,3262,4
1515096000,1.09926,1.09949,1.09829,1.09844,1955,4
1515099600,1.09844,1.09879,1.09789,1.09811,2116,9
1515103200,1.09813,1.09879,1.09787,1.09879,1582,7
1515106800,1.09877,1.09944,1.0986,1.0986,1082,4
1515110400,1.0986,1.09955,1.0982,1.0988,2729,10
1515114000,1.09873,1.09928,1.09846,1.09886,2710,12
