time,open,high,low,close,tick_volume,spread
1514854800,1.20096,1.20175,1.20011,1.20137,809,1
1514858400,1.20143,1.2015500000000001,1.20022,1.20106,3582,1
1514862000,1.20106,1.20178,1.20092,1.20161,2641,1
1514865600,1.2016,1.20233,1.2014,1.2015500000000001,4377,1
1514869200,1.2015500000000001,1.20163,1.20077,1.2009400000000001,2915,1
1514872800,1.2009400000000001,1.20212,1.2009400000000001,1.20119,3027,1
1514876400,1.20118,1.20193,1.20115,1.20174,1837,1
1514880000,1.20175,1.20246,1.20158,1.20246,2021,1
1514883600,1.20246,1.20305,1.20227,1.20285,2792,1
1514887200,1.20286,1.20382,1.20238,1.20362,6960,50
1514890800,1.20362,1.20478,1.20323,1.20452,7472,50
1514894400,1.20453,1.20707,1.20422,1.2070400000000001,6560,1
1514898000,1.20705,1.20814,1.20613,1.20685,8124,50
1514901600,1.20685,1.20707,1.20594,1.20594,4697,50
1514905200,1.20595,1.20689,1.20568,1.20627,5796,50
1514908800,1.20629,1.20666,1.20563,1.20575,6925,50
1514912400,1.20574,1.20589,1.20353,1.20389,8394,50
1514916000,1.2039,1.20459,1.20262,1.20446,9568,50
1514919600,1.20448,1.2059199999999999,1.20436,1.20491,8636,50
1514923200,1.2049,1.20536,1.20412,1.20447,4388,50
1514926800,1.20446,1.20498,1.20418,1.20444,2802,1
1514930400,1.20444,1.20537,1.20432,1.20533,2451,1
1514934000,1.20536,1.20606,1.20518,1.20591,2258,50
1514937600,1.20596,1.20652,1.20545,1.20581,1964,1
1514941200,1.20578,1.20584,1.20551,1.20574,1399,1
1514944800,1.20573,1.20662,1.20569,1.20614,1683,1
1514948400,1.2061600000000001,1.20638,1.20493,1.2059199999999999,3565,1
1514952000,1.20591,1.20633,1.20443,1.2053,3968,1
1514955600,1.20529,1.2053,1.20421,1.20423,2966,1
1514959200,1.20424,1.20479,1.20418,1.20467,1422,1
1514962800,1.20467,1.20538,1.20465,1.20509,1733,1
1514966400,1.2051,1.2059199999999999,1.20492,1.20583,2068,1
1514970000,1.20583,1.20605,1.20441,1.20448,3385,1
1514973600,1.20447,1.2049,1.20346,1.20392,7645,50
1514977200,1.20391,1.2043,1.2031100000000001,1.20426,6331,50
1514980800,1.20426,1.20435,1.20345,1.20383,4539,1
1514984400,1.20382,1.20406,1.20151,1.20177,7145,50
1514988000,1.20177,1.2019,1.20108,1.2015,6450,50
1514991600,1.20152,1.20238,1.20108,1.20232,5104,50
1514995200,1.20234,1.20346,1.20198,1.20328,5905,50
1514998800,1.20328,1.20329,1.20141,1.20177,6584,1
1515002400,1.20173,1.20248,1.20034,1.20237,9869,1
1515006000,1.20236,1.20324,1.20198,1.20298,5654,50
1515009600,1.20299,1.20317,1.20243,1.20273,2737,50
1515013200,1.20272,1.20295,1.2022,1.20275,2143,1
1515016800,1.20276,1.20301,1.20012,1.20162,8600,50
1515020400,1.20164,1.2029,1.20102,1.20133,3623,1
1515024000,1.20124,1.20159,1.20101,1.20142,2042,1
1515027600,1.20142,1.20164,1.20101,1.20105,1753,1
1515031200,1.20107,1.20139,1.20065,1.20108,2509,1
1515034800,1.20109,1.20114,1.20044,1.20099,3180,50
1515038400,1.20099,1.20112,1.20049,1.20078,2986,1
1515042000,1.20078,1.2019199999999999,1.20076,1.20179,2913,1
1515045600,1.20178,1.2018,1.20125,1.20146,2009,1
1515049200,1.20145,1.20225,1.20144,1.20179,1838,1
1515052800,1.20178,1.2023,1.20144,1.2019,1960,1
1515056400,1.20191,1.20382,1.20172,1.20278,4467,1
1515060000,1.20278,1.20378,1.2025000000000001,1.20284,5483,50
1515063600,1.20282,1.20352,1.20214,1.20258,6198,50
1515067200,1.20256,1.2046000000000001,1.20251,1.2043300000000001,5916,50
1515070800,1.2043300000000001,1.20558,1.20414,1.20514,6161,50
1515074400,1.20513,1.20658,1.20468,1.20622,6160,50
1515078000,1.20621,1.20747,1.2059199999999999,1.20705,5033,50
1515081600,1.20706,1.20749,1.20552,1.20621,10614,1
1515085200,1.20622,1.20861,1.20602,1.20824,7832,50
1515088800,1.20821,1.2089,1.20715,1.20742,9195,50
1515092400,1.20743,1.20769,1.20607,1.20633,8007,50
1515096000,1.20632,1.20784,1.20619,1.20745,4624,50
1515099600,1.20745,1.20802,1.2061,1.20648,4173,50
1515103200,1.20647,1.20719,1.20639,1.20715,3196,50
1515106800,1.20717,1.20735,1.20652,1.20688,2646,1
1515110400,1.20686,1.20711,1.20655,1.20682,2080,1
1515114000,1.20668,1.20726,1.2064,1.20716,1565,1
1515117600,1.20712,1.20725,1.20665,1.20665,1809,1
1515121200,1.20665,1.20797,1.20651,1.20774,4092,1
1515124800,1.20774,1.20793,1.20701,1.20722,2792,1
1515128400,1.20722,1.20742,1.20681,1.20711,2703,1
1515132000,1.20711,1.20756,1.20709,1.20746,1994,1
1515135600,1.20745,1.2074799999999999,1.20703,1.2074,1351,1
1515139200,1.2074,1.20754,1.20696,1.20716,2477,1
1515142800,1.20716,1.20743,1.20567,1.20568,3856,1
1515146400,1.2057,1.20671,1.20554,1.20574,5805,1
1515150000,1.20574,1.2062599999999999,1.20512,1.20528,6904,50
1515153600,1.20527,1.20576,1.20416,1.20455,5074,1
1515157200,1.20437,1.2054,1.2042,1.20498,5434,1
1515160800,1.20499,1.20553,1.20483,1.20528,3425,50
1515164400,1.20529,1.20542,1.20445,1.20476,3759,1
1515168000,1.20476,1.20827,1.20447,1.2052,16222,1
1515171600,1.2052,1.20559,1.20249,1.20294,13086,50
1515175200,1.203,1.20443,1.20206,1.20361,11740,50
1515178800,1.20362,1.20434,1.20302,1.20382,6660,50
1515182400,1.20382,1.2049,1.20362,1.20471,3873,50
1515186000,1.20471,1.20489,1.20435,1.20454,2556,1
1515189600,1.20453,1.2051,1.20453,1.20474,1827,1
1515193200,1.20473,1.2049400000000001,1.20388,1.20397,1521,1
1515369600,1.20246,1.20272,1.20207,1.20245,155,7
1515373200,1.20235,1.20356,1.20232,1.20316,1293,1
1515376800,1.20316,1.20392,1.20316,1.20371,1934,1
