time,open,high,low,close,tick_volume,spread
1514854800,1.20096,1.20101,1.20011,1.20067,398,7
1514856600,1.20072,1.20175,1.20072,1.20137,411,1
1514858400,1.20143,1.2015500000000001,1.20022,1.20137,2686,1
1514860200,1.20138,1.20153,1.2009400000000001,1.20106,896,1
1514862000,1.20106,1.20178,1.20092,1.20145,1447,1
1514863800,1.20145,1.20166,1.20112,1.20161,1194,1
1514865600,1.2016,1.20233,1.20156,1.20228,2460,50
1514867400,1.20228,1.2023,1.2014,1.2015500000000001,1917,1
1514869200,1.2015500000000001,1.20163,1.20093,1.20121,1672,1
1514871000,1.2012,1.20124,1.20077,1.2009400000000001,1243,1
1514872800,1.2009400000000001,1.20212,1.2009400000000001,1.20203,1665,1
1514874600,1.20202,1.20202,1.20116,1.20119,1362,1
1514876400,1.20118,1.20193,1.20115,1.20183,952,1
1514878200,1.20184,1.20184,1.20127,1.20174,885,1
1514880000,1.20175,1.20187,1.20158,1.20186,861,1
1514881800,1.20185,1.20246,1.20183,1.20246,1160,1
1514883600,1.20246,1.20298,1.20235,1.20251,1386,50
1514885400,1.20252,1.20305,1.20227,1.20285,1406,1
1514887200,1.20286,1.20321,1.20238,1.203,3223,50
1514889000,1.20301,1.20382,1.20259,1.20362,3737,50
1514890800,1.20362,1.20428,1.20323,1.20422,4147,50
1514892600,1.20422,1.20478,1.20408,1.20452,3325,50
1514894400,1.20453,1.20508,1.20422,1.20501,2493,2
1514896200,1.20501,1.20707,1.2049400000000001,1.2070400000000001,4067,1
1514898000,1.20705,1.20779,1.20613,1.20688,4113,50
1514899800,1.20688,1.20814,1.20667,1.20685,4011,50
1514901600,1.20685,1.20707,1.2062,1.20656,2838,50
1514903400,1.20656,1.20688,1.20594,1.20594,1859,50
1514905200,1.20595,1.20642,1.20568,1.20614,3233,50
1514907000,1.20613,1.20689,1.20613,1.20627,2563,50
1514908800,1.20629,1.20658,1.20563,1.20607,3429,50
1514910600,1.20606,1.20666,1.20572,1.20575,3496,50
1514912400,1.20574,1.20589,1.20439,1.20472,3721,50
1514914200,1.20471,1.20514,1.20353,1.20389,4673,50
1514916000,1.2039,1.20424,1.20301,1.20323,4838,50
1514917800,1.20324,1.20459,1.20262,1.20446,4730,50
1514919600,1.20448,1.2056499999999999,1.20436,1.20469,4639,50
1514921400,1.20469,1.2059199999999999,1.20446,1.20491,3997,50
1514923200,1.2049,1.20536,1.20452,1.2046999999999999,2467,50
1514925000,1.20471,1.20508,1.20412,1.20447,1921,50
1514926800,1.20446,1.20488,1.2043300000000001,1.2048,1477,50
1514928600,1.2048,1.20498,1.20418,1.20444,1325,1
1514930400,1.20444,1.20487,1.20432,1.20477,1260,50
1514932200,1.20476,1.20537,1.20473,1.20533,1191,1
1514934000,1.20536,1.20562,1.20518,1.20545,1207,50
1514935800,1.20545,1.20606,1.20537,1.20591,1051,50
1514937600,1.20596,1.20652,1.20561,1.20562,872,50
1514939400,1.20563,1.20605,1.20545,1.20581,1092,1
1514941200,1.20578,1.20584,1.20556,1.2056499999999999,274,1
1514943000,1.20563,1.20576,1.20551,1.20574,1125,1
1514944800,1.20573,1.20645,1.20569,1.20641,945,1
1514946600,1.20641,1.20662,1.20614,1.20614,738,1
