time,open,high,low,close,tick_volume,spread
1514851200,152.1,152.163,151.943,152.149,389,108
1514854800,152.059,152.413,152.057,152.348,3426,39
1514858400,152.333,152.424,152.284,152.323,860,33
1514862000,152.322,152.384,152.279,152.313,1112,34
1514865600,152.315,152.361,152.264,152.292,962,30
1514869200,152.291,152.377,152.288,152.337,1030,29
1514872800,152.335,152.384,152.285,152.299,1042,29
1514876400,152.299,152.382,152.298,152.382,1238,11
1514880000,152.343,152.395,152.314,152.342,6315,3
1514883600,152.342,152.474,152.315,152.437,10829,2
1514887200,152.441,152.53,152.246,152.324,13623,2
1514890800,152.323,152.423,152.012,152.091,11024,2
1514894400,152.088,152.119,151.896,152.03,10927,2
1514898000,152.032,152.101,151.911,152.084,10063,2
1514901600,152.084,152.192,152.038,152.113,11360,2
1514905200,152.113,152.177,151.995,152.013,10982,2
1514908800,152.013,152.1,151.865,152.047,11705,2
1514912400,152.047,152.344,151.972,152.282,15152,2
1514916000,152.282,152.524,152.177,152.494,14270,2
1514919600,152.496,152.633,152.488,152.529,9500,2
1514923200,152.529,152.665,152.489,152.664,7007,4
1514926800,152.665,152.735,152.605,152.63,5258,2
1514930400,152.629,152.7,152.603,152.653,5854,4
1514934000,152.625,152.701,152.559,152.57,3237,6
1514937600,152.57,152.713,152.488,152.51,9195,2
1514941200,152.511,152.643,152.507,152.597,6661,5
1514944800,152.599,152.728,152.561,152.725,6330,2
1514948400,152.725,152.814,152.631,152.782,5336,2
1514952000,152.782,152.782,152.659,152.73,4909,2
1514955600,152.73,152.767,152.696,152.721,3027,2
1514959200,152.723,152.777,152.686,152.749,2943,2
1514962800,152.749,152.783,152.709,152.762,3966,2
1514966400,152.761,152.825,152.67,152.677,7194,2
1514970000,152.681,152.809,152.678,152.737,10009,2
1514973600,152.735,152.818,152.608,152.713,9946,2
1514977200,152.714,152.742,152.543,152.563,7511,2
1514980800,152.563,152.633,152.371,152.382,9315,2
1514984400,152.381,152.403,152.191,152.217,8439,2
1514988000,152.214,152.294,152.116,152.263,6936,2
1514991600,152.263,152.292,152.146,152.199,8054,2
1514995200,152.197,152.208,151.819,151.863,10100,2
1514998800,151.858,151.971,151.748,151.897,15101,2
1515002400,151.897,151.904,151.769,151.81,10717,2
1515006000,151.81,151.952,151.799,151.94,5861,2
1515009600,151.94,151.94,151.814,151.874,4858,3
1515013200,151.858,152.102,151.854,152.097,9217,2
1515016800,152.098,152.101,151.929,151.943,5208,2
1515020400,151.936,152.099,151.909,152.027,4076,3
1515024000,152.026,152.129,151.961,152.063,5555,4
1515027600,152.064,152.172,152.05,152.144,3488,8
1515031200,152.144,152.296,152.144,152.25,9055,2
1515034800,152.251,152.383,152.246,152.314,8409,2
1515038400,152.318,152.362,152.275,152.296,7329,3
1515042000,152.296,152.343,152.278,152.299,4074,2
1515045600,152.298,152.329,152.274,152.308,4261,3
1515049200,152.307,152.312,152.239,152.28,5485,2
1515052800,152.279,152.284,152.171,152.175,7312,2
1515056400,152.174,152.245,152.15,152.191,8730,2
1515060000,152.191,152.504,152.177,152.498,9652,2
1515063600,152.497,152.56,152.405,152.438,9369,2
1515067200,152.439,152.58,152.375,152.504,7972,2
1515070800,152.505,152.643,152.481,152.639,7951,2
1515074400,152.639,152.713,152.563,152.572,7316,2
1515078000,152.573,152.829,152.467,152.704,14387,2
1515081600,152.711,152.837,152.637,152.836,12323,2
1515085200,152.837,152.977,152.755,152.835,12394,2
1515088800,152.837,152.949,152.676,152.689,13135,2
1515092400,152.69,152.861,152.687,152.76,8515,2
1515096000,152.761,152.817,152.693,152.787,7575,4
1515099600,152.789,152.856,152.764,152.831,6607,2
1515103200,152.83,152.849,152.761,152.784,7196,2
1515106800,152.765,152.8,152.734,152.752,3839,5
1515110400,152.752,152.803,152.705,152.784,2679,11
1515114000,152.794,152.877,152.76,152.865,3340,4
1515117600,152.865,153.007,152.818,152.963,7894,2
1515121200,152.962,152.974,152.846,152.88,5265,4
1515124800,152.879,153.025,152.823,153.025,7189,5
1515128400,153.024,153.105,152.991,153.065,4375,3
1515132000,153.065,153.136,153.036,153.129,4937,2
1515135600,153.128,153.348,153.128,153.342,7459,2
1515139200,153.341,153.52,153.308,153.316,10377,2
1515142800,153.316,153.368,153.219,153.297,9929,3
1515146400,153.298,153.399,153.266,153.307,10781,2
1515150000,153.308,153.314,153.112,153.197,8299,3
1515153600,153.193,153.327,153.142,153.31,9090,2
1515157200,153.312,153.463,153.3,153.403,6479,2
1515160800,153.403,153.523,153.369,153.491,7991,3
1515164400,153.497,153.637,153.249,153.583,20376,2
1515168000,153.583,153.583,153.363,153.419,18446,2
1515171600,153.42,153.584,153.303,153.569,15444,2
1515175200,153.569,153.599,153.457,153.494,12919,2
1515178800,153.492,153.578,153.484,153.493,8380,2
1515182400,153.492,153.571,153.452,153.553,4598,2
1515186000,153.552,153.566,153.469,153.487,5000,2
1515189600,153.487,153.517,153.447,153.461,4487,2
1515193200,153.466,153.479,153.324,153.416,3982,6
1515369600,153.389,153.5,153.234,153.468,5275,10
1515373200,153.468,153.653,153.442,153.621,5062,6
1515376800,153.622,153.622,153.491,153.492,4395,2
1515380400,153.492,153.669,153.479,153.618,5497,2
1515384000,153.618,153.663,153.564,153.602,4475,3
1515387600,153.602,153.602,153.506,153.562,2723,2
1515391200,153.563,153.578,153.446,153.486,2980,2
1515394800,153.486,153.567,153.462,153.495,4092,2
1515398400,153.494,153.522,153.356,153.367,4685,1
1515402000,153.369,153.525,153.359,153.493,8160,1
1515405600,153.5,153.523,153.324,153.334,7912,1
1515409200,153.334,153.345,153.042,153.079,5797,1
1515412800,153.079,153.259,153.01,153.238,8656,1
1515416400,153.237,153.326,153.134,153.148,6853,1
1515420000,153.148,153.202,153.051,153.158,9392,1
1515423600,153.16,153.186,152.869,152.933,9478,1
1515427200,152.934,153.163,152.927,153.117,8912,1
1515430800,153.116,153.461,153.104,153.43,9764,1
1515434400,153.429,153.533,153.362,153.395,10580,1
1515438000,153.395,153.457,153.293,153.324,8300,1
1515441600,153.324,153.392,153.3,153.354,6106,2
1515445200,153.353,153.395,153.307,153.372,5196,1
1515448800,153.373,153.434,153.342,153.369,3943,1
