time,open,high,low,close,tick_volume,spread
1514764800,2674.5,2876.8,2673.9,2825.7,142831,0
1514858400,2674.5,2680.2,2673.9,2680.2,190,6
1514862000,2680.4,2680.9,2679.4,2679.9,33,6
1514865600,2680.2,2680.2,2678.4,2678.9,60,6
1514869200,2678.7,2679.2,2675.9,2676.4,84,6
1514872800,2676.2,2678.4,2675.9,2677.9,37,6
1514876400,2678.2,2678.7,2677.9,2678.7,35,6
1514880000,2678.4,2679.9,2678.4,2679.4,32,6
1514883600,2679.4,2679.7,2679.2,2679.4,18,6
1514887200,2679.7,2679.9,2679.2,2679.7,94,6
1514890800,2679.4,2679.4,2676.7,2677.7,427,6
1514894400,2677.4,2677.7,2674.7,2675.2,280,6
1514898000,2675.4,2678.4,2675.2,2678.2,299,6
1514901600,2678.4,2681.2,2678.2,2680.9,210,6
1514905200,2681.2,2683.9,2680.9,2683.4,183,6
1514908800,2683.2,2685.2,2682.7,2683.9,81,6
1514912400,2684.2,2687.4,2681.3,2686.8,632,4
1514916000,2687.0,2692.0,2686.8,2690.5,506,4
1514919600,2690.3,2691.8,2687.5,2689.3,308,4
1514923200,2689.0,2690.8,2688.5,2689.0,209,4
1514926800,2689.3,2691.0,2689.0,2690.5,142,4
1514930400,2690.3,2691.3,2689.8,2691.0,158,4
1514934000,2690.8,2695.8,2690.5,2695.8,260,4
1514937600,2695.5,2695.8,2691.9,2692.9,148,4
1514941200,2693.7,2693.7,2693.7,2693.7,1,6
1514944800,2693.2,2693.9,2692.2,2693.5,93,6
1514948400,2693.4,2695.4,2693.4,2694.4,83,6
1514952000,2694.2,2695.2,2693.9,2695.2,74,6
1514955600,2695.4,2696.4,2695.4,2695.7,36,6
1514959200,2695.4,2696.4,2695.4,2695.9,25,6
1514962800,2695.7,2696.2,2695.4,2695.9,15,6
1514966400,2696.2,2696.7,2695.9,2696.2,19,6
1514970000,2696.2,2696.4,2695.7,2695.7,14,6
1514973600,2695.9,2696.7,2695.7,2696.4,31,6
1514977200,2696.7,2697.7,2696.2,2697.4,125,6
1514980800,2697.7,2697.7,2696.4,2697.2,143,6
1514984400,2697.4,2698.2,2696.9,2697.9,149,6
1514988000,2698.2,2698.4,2696.7,2696.9,57,6
1514991600,2696.7,2697.2,2695.7,2696.4,58,6
1514995200,2696.7,2697.4,2695.7,2696.4,64,6
1514998800,2696.7,2703.8,2696.4,2703.0,492,4
1515002400,2703.3,2708.3,2703.0,2706.4,550,4
1515006000,2706.2,2707.9,2705.7,2706.4,279,4
1515009600,2706.7,2712.5,2706.7,2711.0,154,4
1515013200,2711.2,2711.5,2707.7,2708.2,148,4
1515016800,2708.1,2711.5,2707.7,2710.5,206,4
1515020400,2710.2,2714.1,2710.0,2712.4,185,4
1515024000,2712.1,2712.5,2710.3,2710.3,76,4
1515027600,2709.3,2709.3,2709.3,2709.3,1,6
1515031200,2709.8,2709.8,2708.5,2709.8,85,6
