time,open,high,low,close,tick_volume,spread
1514851200,112.503,112.663,112.503,112.586,827,21
1514854800,112.591,112.779,112.588,112.764,2342,21
1514858400,112.761,112.784,112.714,112.728,1082,18
1514862000,112.727,112.742,112.651,112.713,1136,18
1514865600,112.712,112.746,112.697,112.709,2282,13
1514869200,112.708,112.714,112.66,112.696,1512,13
1514872800,112.696,112.725,112.688,112.702,1935,13
1514876400,112.704,112.733,112.675,112.685,2279,5
1514880000,112.686,112.699,112.645,112.665,4414,2
1514883600,112.665,112.684,112.609,112.63,4804,2
1514887200,112.631,112.637,112.374,112.386,8004,2
1514890800,112.385,112.401,112.245,112.252,6025,2
1514894400,112.252,112.281,112.116,112.139,5700,2
1514898000,112.139,112.234,112.132,112.231,3604,2
1514901600,112.232,112.236,112.142,112.161,4603,2
1514905200,112.162,112.185,112.083,112.124,6454,2
1514908800,112.123,112.246,112.055,112.229,6200,2
1514912400,112.229,112.267,112.13,112.149,6938,2
1514916000,112.15,112.258,112.096,112.17,6282,2
1514919600,112.171,112.303,112.163,112.283,3802,2
1514923200,112.283,112.352,112.266,112.335,3028,2
1514926800,112.335,112.344,112.252,112.256,2735,2
1514930400,112.257,112.282,112.241,112.272,2476,2
1514934000,112.261,112.321,112.25,112.268,1439,2
1514937600,112.268,112.362,112.207,112.226,7962,2
1514941200,112.223,112.28,112.17,112.254,4970,2
1514944800,112.253,112.36,112.214,112.337,5228,2
1514948400,112.336,112.357,112.266,112.318,3829,2
1514952000,112.318,112.394,112.303,112.381,3549,2
1514955600,112.379,112.385,112.324,112.339,2605,2
1514959200,112.34,112.346,112.262,112.325,2106,2
1514962800,112.324,112.33,112.266,112.279,2767,2
1514966400,112.277,112.312,112.235,112.3,3752,2
1514970000,112.302,112.391,112.294,112.353,5172,2
1514973600,112.353,112.378,112.296,112.344,4871,2
1514977200,112.344,112.361,112.291,112.298,2953,2
1514980800,112.297,112.326,112.211,112.248,4322,2
1514984400,112.248,112.281,112.224,112.233,3663,2
1514988000,112.233,112.279,112.194,112.256,3808,2
1514991600,112.257,112.273,112.219,112.226,3469,2
1514995200,112.227,112.28,112.189,112.22,4784,2
1514998800,112.219,112.498,112.219,112.396,7587,2
1515002400,112.398,112.399,112.278,112.288,4328,2
1515006000,112.287,112.363,112.274,112.33,2122,2
1515009600,112.331,112.358,112.301,112.315,1722,2
1515013200,112.312,112.607,112.297,112.526,6979,2
1515016800,112.524,112.525,112.408,112.461,3200,2
1515020400,112.449,112.524,112.442,112.504,3080,2
1515024000,112.503,112.561,112.464,112.542,8065,2
1515027600,112.545,112.622,112.53,112.608,3566,2
1515031200,112.609,112.726,112.605,112.683,7064,2
1515034800,112.684,112.776,112.679,112.728,5675,2
1515038400,112.727,112.729,112.637,112.644,5145,2
1515042000,112.645,112.692,112.639,112.661,2750,2
1515045600,112.662,112.667,112.616,112.651,2773,2
1515049200,112.653,112.667,112.619,112.659,3487,2
1515052800,112.66,112.66,112.487,112.538,4324,2
1515056400,112.538,112.591,112.516,112.581,4022,2
1515060000,112.581,112.671,112.578,112.62,4123,2
1515063600,112.62,112.639,112.538,112.544,3226,2
1515067200,112.545,112.603,112.527,112.56,3552,2
1515070800,112.56,112.614,112.541,112.602,3403,2
1515074400,112.604,112.651,112.598,112.618,3112,2
1515078000,112.619,112.846,112.616,112.827,8566,2
1515081600,112.828,112.835,112.751,112.821,5556,2
1515085200,112.821,112.855,112.758,112.774,5296,2
1515088800,112.774,112.863,112.748,112.789,4825,2
1515092400,112.788,112.85,112.758,112.764,3743,2
1515096000,112.764,112.838,112.755,112.822,3936,2
1515099600,112.824,112.829,112.723,112.748,3661,2
1515103200,112.747,112.777,112.71,112.73,3729,2
1515106800,112.72,112.749,112.708,112.728,2329,2
1515110400,112.732,112.785,112.719,112.774,7988,2
1515114000,112.773,112.802,112.766,112.801,2086,2
1515117600,112.804,112.804,112.727,112.768,5350,2
1515121200,112.768,112.791,112.742,112.771,3393,2
1515124800,112.772,112.845,112.722,112.844,5588,2
1515128400,112.844,112.852,112.806,112.83,2177,2
1515132000,112.829,112.882,112.824,112.876,3714,2
1515135600,112.875,113.0,112.875,112.996,4745,2
1515139200,112.996,113.112,112.98,113.08,6239,2
1515142800,113.079,113.154,113.036,113.147,3562,2
1515146400,113.147,113.237,113.137,113.21,6381,2
1515150000,113.213,113.238,113.159,113.225,4631,2
1515153600,113.224,113.241,113.167,113.234,4753,2
