time,open,high,low,close,tick_volume,spread
1514883600,1309.81,1310.17,1308.62,1309.28,6186,36
1514887200,1309.28,1310.73,1308.4,1310.12,7079,36
1514890800,1310.1,1312.21,1309.88,1312.14,6350,36
1514894400,1312.08,1312.74,1310.03,1311.74,7029,36
1514898000,1311.74,1312.15,1310.04,1310.06,4391,36
1514901600,1310.07,1312.49,1309.97,1311.96,5737,36
1514905200,1311.98,1314.26,1311.79,1313.81,8709,36
1514908800,1313.81,1314.42,1312.12,1312.54,11807,36
1514912400,1312.56,1313.46,1310.71,1312.12,11763,36
1514916000,1312.12,1313.5,1311.16,1311.16,9395,36
1514919600,1311.08,1312.32,1311.08,1312.32,6170,36
1514923200,1312.29,1314.71,1312.26,1314.41,5861,36
1514926800,1314.42,1316.07,1314.34,1315.82,4359,36
1514930400,1315.82,1318.33,1315.58,1318.12,5677,36
1514934000,1318.11,1318.8,1317.25,1317.82,2243,29
1514941200,1317.27,1321.24,1317.27,1320.15,3618,36
1514944800,1320.18,1321.12,1320.06,1320.47,3532,36
1514948400,1320.47,1320.5,1316.8,1318.12,6732,36
1514952000,1318.13,1318.26,1311.82,1312.11,7415,36
1514955600,1312.23,1314.57,1311.78,1313.98,4982,36
1514959200,1313.96,1313.97,1312.17,1313.51,2866,36
1514962800,1313.51,1314.62,1313.19,1314.52,2992,32
1514966400,1314.52,1315.33,1312.82,1313.11,4906,34
1514970000,1313.11,1314.14,1311.68,1313.56,6399,36
1514973600,1313.56,1315.01,1313.35,1314.24,5945,36
1514977200,1314.24,1314.77,1313.71,1314.51,3813,36
1514980800,1314.51,1314.83,1313.49,1313.92,4761,32
1514984400,1313.92,1316.17,1313.52,1315.54,5362,36
1514988000,1315.53,1317.38,1313.27,1314.72,8005,36
1514991600,1314.7,1316.39,1314.39,1316.27,8068,36
1514995200,1316.27,1317.78,1315.1,1316.81,11384,36
1514998800,1316.75,1316.99,1314.72,1316.4,13453,36
1515002400,1316.4,1317.19,1315.65,1316.91,7845,36
1515006000,1316.91,1317.2,1315.59,1315.71,4984,36
1515009600,1315.69,1317.11,1315.66,1316.07,4341,36
1515013200,1315.99,1316.12,1307.31,1312.87,12362,36
1515016800,1312.87,1316.54,1312.87,1314.85,6207,36
1515020400,1314.85,1315.6,1312.04,1312.78,2636,29
1515027600,1312.74,1313.48,1310.53,1311.03,3475,36
1515031200,1311.01,1311.05,1308.38,1309.12,5778,36
1515034800,1309.12,1309.75,1305.7,1307.05,7568,36
1515038400,1307.05,1307.87,1306.5,1306.86,4807,36
1515042000,1306.86,1307.22,1305.99,1307.09,2923,36
1515045600,1307.09,1308.36,1307.07,1307.87,2797,31
1515049200,1307.87,1310.14,1307.46,1309.96,4323,36
1515052800,1309.96,1310.81,1308.98,1309.97,5699,36
1515056400,1309.97,1311.24,1308.06,1310.54,6459,36
1515060000,1310.54,1311.99,1310.4,1311.52,6555,36
1515063600,1311.52,1314.17,1311.41,1313.56,6663,36
1515067200,1313.55,1314.18,1312.11,1313.42,6304,36
1515070800,1313.42,1313.73,1312.39,1312.82,5533,36
1515074400,1312.71,1313.34,1311.53,1313.16,5782,36
1515078000,1313.14,1317.13,1309.08,1314.67,16304,36
1515081600,1314.67,1316.37,1314.09,1314.63,11732,36
1515085200,1314.63,1319.77,1314.25,1319.66,12732,36
