time,open,high,low,close,tick_volume,spread
1514858400,1302.74,1307.69,1302.06,1306.8,5358,5
1514862000,1306.8,1307.31,1305.28,1306.35,5519,5
1514865600,1306.34,1307.05,1304.24,1306.21,8661,5
1514869200,1306.18,1306.84,1305.53,1306.01,5163,5
1514872800,1306.01,1307.49,1305.45,1306.48,5104,5
1514876400,1306.48,1307.32,1306.37,1307.22,2671,5
1514880000,1307.23,1307.73,1306.85,1307.44,3824,5
1514883600,1307.43,1310.04,1307.42,1309.98,8141,5
1514887200,1309.97,1310.32,1308.83,1309.44,10997,5
1514890800,1309.44,1310.9,1308.57,1310.29,11494,5
1514894400,1310.26,1312.39,1310.04,1312.26,10085,5
1514898000,1312.25,1312.91,1310.17,1311.91,12542,5
1514901600,1311.92,1312.36,1310.2,1310.24,7366,5
1514905200,1310.23,1312.66,1310.12,1312.13,10185,5
1514908800,1312.14,1314.42,1311.93,1313.95,15096,5
1514912400,1313.95,1314.58,1312.29,1312.69,20495,5
1514916000,1312.73,1313.63,1310.88,1312.27,20714,5
1514919600,1312.27,1313.66,1311.31,1311.35,15541,5
1514923200,1311.31,1312.5,1311.25,1312.5,10872,5
1514926800,1312.48,1314.9,1312.42,1314.57,10250,5
1514930400,1314.58,1316.23,1314.5,1316.0,9217,5
1514934000,1316.0,1318.51,1315.68,1318.26,8754,5
1514944800,1317.49,1321.47,1317.08,1320.3,6579,5
1514948400,1320.3,1321.33,1320.21,1320.63,5884,5
1514952000,1320.63,1320.68,1316.93,1318.29,10816,5
1514955600,1318.3,1318.43,1311.92,1312.28,12850,5
1514959200,1312.34,1314.74,1311.92,1314.15,7792,5
1514962800,1314.13,1314.14,1312.33,1313.66,4641,5
1514966400,1313.66,1314.8,1313.34,1314.67,4260,5
1514970000,1314.67,1315.47,1312.97,1313.25,7830,5
1514973600,1313.25,1314.32,1311.84,1313.71,10338,5
1514977200,1313.71,1315.22,1313.49,1314.41,8022,5
1514980800,1314.41,1314.94,1313.91,1314.68,7190,5
1514984400,1314.66,1315.01,1313.62,1314.08,6817,5
1514988000,1314.08,1316.31,1313.67,1315.72,7815,5
1514991600,1315.71,1317.54,1313.41,1314.86,14069,5
1514995200,1314.87,1316.54,1314.53,1316.43,13256,5
1514998800,1316.43,1317.96,1315.25,1316.96,18797,5
1515002400,1316.93,1317.17,1314.79,1316.56,21039,5
1515006000,1316.55,1317.39,1315.84,1317.05,12095,5
1515009600,1317.05,1317.38,1315.77,1315.85,7775,5
1515013200,1315.87,1317.28,1315.83,1316.22,6531,5
1515016800,1316.1,1316.29,1307.46,1313.02,19818,5
1515020400,1313.0,1316.72,1313.0,1314.65,8764,5
1515031200,1312.89,1313.62,1310.61,1311.19,5510,5
1515034800,1311.17,1311.21,1308.54,1309.25,7567,5
1515038400,1309.25,1309.89,1305.91,1307.18,8998,5
1515042000,1307.17,1308.04,1306.65,1307.03,6096,5
1515045600,1307.04,1307.42,1306.16,1307.26,3681,5
1515049200,1307.25,1308.49,1307.24,1308.02,2705,5
1515052800,1308.02,1310.29,1307.6,1310.14,5883,5
1515056400,1310.14,1310.97,1309.16,1310.14,7667,5
1515060000,1310.15,1311.42,1308.19,1310.69,8774,5
1515063600,1310.7,1312.16,1310.57,1311.72,10421,5
1515067200,1311.72,1314.34,1311.6,1313.77,7036,5
1515070800,1313.77,1314.36,1312.29,1313.6,9211,5
1515074400,1313.59,1313.91,1312.58,1313.0,7019,5
1515078000,1312.99,1313.52,1311.72,1313.33,11036,5
1515081600,1313.35,1317.26,1309.24,1314.86,27615,5
1515085200,1314.87,1316.55,1314.29,1314.79,17789,5
1515088800,1314.79,1319.95,1314.44,1319.85,19383,5
1515092400,1319.82,1320.08,1316.82,1319.25,16136,5
1515096000,1319.25,1319.86,1318.2,1319.71,10910,5
1515099600,1319.72,1321.07,1318.25,1319.25,11087,5
1515103200,1319.23,1324.8,1319.23,1324.41,14992,5
1515106800,1324.42,1326.03,1321.8,1321.97,10221,5
1515117600,1321.87,1323.04,1320.78,1320.98,3662,5
