time,open,high,low,close,tick_volume,spread
1514858400,1302.74,1303.83,1302.06,1303.82,1171,5
1514859300,1303.79,1306.33,1303.73,1306.33,1594,5
1514860200,1306.33,1307.69,1306.15,1307.18,1784,5
1514861100,1307.19,1307.31,1306.78,1306.8,809,6
1514862000,1306.8,1306.89,1305.28,1305.73,1327,5
1514862900,1305.72,1306.18,1305.58,1305.91,1175,5
1514863800,1305.93,1306.81,1305.91,1306.78,1202,5
1514864700,1306.78,1307.31,1306.24,1306.35,1815,5
1514865600,1306.34,1306.47,1304.24,1305.19,3617,5
1514866500,1305.19,1306.31,1305.19,1306.27,1671,5
1514867400,1306.25,1307.05,1306.14,1306.59,1754,5
1514868300,1306.59,1307.01,1306.06,1306.21,1619,5
1514869200,1306.18,1306.73,1306.18,1306.62,1374,5
1514870100,1306.61,1306.84,1306.5,1306.6,1037,5
1514871000,1306.6,1306.65,1305.89,1306.22,1319,5
1514871900,1306.23,1306.26,1305.53,1306.01,1433,5
1514872800,1306.01,1306.47,1305.45,1306.29,1375,5
1514873700,1306.29,1307.12,1306.29,1306.97,1518,5
1514874600,1306.97,1307.49,1306.74,1307.16,1224,5
1514875500,1307.18,1307.18,1306.46,1306.48,987,5
1514876400,1306.48,1306.6,1306.37,1306.53,790,5
1514877300,1306.52,1306.82,1306.5,1306.75,680,5
1514878200,1306.78,1307.03,1306.54,1306.99,460,5
1514879100,1307.0,1307.32,1306.97,1307.22,741,5
1514880000,1307.23,1307.24,1306.96,1307.01,498,7
1514880900,1307.01,1307.34,1306.98,1307.31,802,5
1514881800,1307.32,1307.38,1306.85,1307.38,887,5
1514882700,1307.39,1307.73,1307.12,1307.44,1637,5
1514883600,1307.43,1309.06,1307.42,1308.66,3422,5
1514884500,1308.67,1309.03,1308.35,1309.03,1375,5
1514885400,1309.03,1309.28,1308.63,1308.77,1288,5
1514886300,1308.76,1310.04,1308.56,1309.98,2056,5
1514887200,1309.97,1310.32,1309.49,1309.66,2779,5
1514888100,1309.66,1309.77,1308.97,1309.37,3406,5
1514889000,1309.46,1309.77,1308.83,1309.43,2679,5
1514889900,1309.43,1309.54,1309.01,1309.44,2133,5
1514890800,1309.44,1309.58,1308.57,1309.11,3383,5
1514891700,1309.16,1309.67,1309.11,1309.66,2697,5
1514892600,1309.65,1310.9,1309.62,1310.47,3219,5
1514893500,1310.46,1310.68,1310.02,1310.29,2195,5
1514894400,1310.26,1310.82,1310.04,1310.66,1925,5
1514895300,1310.67,1310.96,1310.16,1310.48,2433,5
1514896200,1310.48,1311.48,1310.48,1311.28,2518,5
1514897100,1311.28,1312.39,1311.26,1312.26,3209,5
1514898000,1312.25,1312.35,1310.4,1310.53,3450,5
1514898900,1310.46,1311.17,1310.17,1311.04,2265,5
1514899800,1311.04,1312.91,1311.03,1312.3,4006,5
1514900700,1312.3,1312.53,1311.72,1311.91,2821,5
1514901600,1311.92,1312.36,1311.51,1312.21,1814,5
1514902500,1312.2,1312.21,1311.38,1311.49,1720,5
1514903400,1311.49,1311.79,1310.74,1310.85,1401,5
1514904300,1310.86,1310.88,1310.2,1310.24,2431,5
1514905200,1310.23,1312.06,1310.12,1311.93,3413,5
1514906100,1311.94,1311.96,1311.35,1311.66,1984,5
1514907000,1311.67,1312.07,1311.46,1311.87,1542,5
1514907900,1311.87,1312.66,1311.66,1312.13,3246,5
1514908800,1312.14,1312.95,1311.93,1312.18,3604,5
1514909700,1312.18,1313.36,1312.15,1313.09,4001,5
1514910600,1313.08,1314.13,1313.08,1313.8,3770,5
1514911500,1313.77,1314.42,1313.03,1313.95,3721,5
1514912400,1313.95,1314.4,1313.54,1313.68,3747,5
1514913300,1313.69,1313.85,1313.2,1313.26,3100,5
1514914200,1313.25,1314.58,1312.49,1313.29,7671,5
1514915100,1313.28,1313.55,1312.29,1312.69,5977,5
1514916000,1312.73,1313.35,1310.88,1313.21,7836,5
1514916900,1313.21,1313.63,1311.88,1312.31,5437,5
1514917800,1312.32,1312.99,1312.14,1312.38,4086,5
1514918700,1312.36,1312.82,1312.02,1312.27,3355,5
1514919600,1312.27,1313.66,1312.23,1313.07,2951,5
1514920500,1313.07,1313.23,1312.46,1312.66,5348,5
1514921400,1312.65,1312.72,1312.12,1312.39,2891,5
1514922300,1312.39,1312.72,1311.31,1311.35,4351,5
1514923200,1311.31,1312.0,1311.27,1311.72,3925,5
1514924100,1311.7,1312.04,1311.25,1311.66,2655,5
1514925000,1311.66,1311.89,1311.39,1311.8,2106,5
1514925900,1311.79,1312.5,1311.79,1312.5,2186,5
1514926800,1312.48,1313.49,1312.42,1313.36,2428,5
1514927700,1313.36,1314.65,1312.94,1314.62,2753,5
1514928600,1314.61,1314.63,1313.87,1314.34,2438,5
1514929500,1314.33,1314.9,1313.85,1314.57,2631,5
1514930400,1314.58,1315.22,1314.5,1315.04,2991,5
1514931300,1315.05,1315.25,1314.6,1315.23,1613,5
1514932200,1315.22,1315.6,1315.05,1315.33,1914,5
1514933100,1315.32,1316.23,1315.31,1316.0,2699,5
1514934000,1316.0,1316.91,1315.68,1316.5,2405,5
1514934900,1316.5,1316.66,1316.15,1316.66,1384,5
1514935800,1316.64,1318.39,1316.63,1318.04,2668,5
1514936700,1318.04,1318.51,1317.76,1318.26,2297,5
1514944800,1317.49,1318.43,1317.08,1318.43,883,5
1514945700,1318.43,1319.05,1318.22,1318.68,1387,5
1514946600,1318.67,1321.47,1318.56,1320.84,2658,5
1514947500,1320.83,1320.9,1319.98,1320.3,1651,5
1514948400,1320.3,1321.05,1320.21,1320.92,1264,5
1514949300,1320.95,1321.33,1320.65,1320.73,1229,5
1514950200,1320.73,1321.24,1320.34,1321.15,2223,5
1514951100,1321.15,1321.25,1320.63,1320.63,1168,5
1514952000,1320.63,1320.66,1318.77,1320.43,3906,5
1514952900,1320.44,1320.68,1319.62,1319.71,1530,5
1514953800,1319.7,1319.75,1316.93,1317.87,3225,5
1514954700,1317.87,1318.32,1317.16,1318.29,2155,5
1514955600,1318.3,1318.43,1316.79,1316.86,1945,5
1514956500,1316.85,1317.31,1315.59,1315.99,2873,5
1514957400,1315.99,1316.04,1312.8,1313.08,4732,5
1514958300,1313.09,1314.35,1311.92,1312.28,3300,5
1514959200,1312.34,1312.97,1311.92,1312.2,2442,5
1514960100,1312.19,1313.26,1312.07,1312.68,1423,5
1514961000,1312.67,1314.16,1312.65,1313.94,1842,5
1514961900,1313.92,1314.74,1313.92,1314.15,2085,5
1514962800,1314.13,1314.14,1312.33,1313.47,2037,5
1514963700,1313.46,1313.96,1313.25,1313.74,853,5
1514964600,1313.74,1314.13,1313.61,1313.63,950,5
1514965500,1313.64,1313.73,1313.12,1313.66,801,5
1514966400,1313.66,1313.85,1313.34,1313.84,632,5
1514967300,1313.84,1314.26,1313.73,1314.06,799,5
1514968200,1314.06,1314.75,1313.83,1314.52,1431,5
1514969100,1314.51,1314.8,1314.04,1314.67,1398,5
1514970000,1314.67,1315.47,1314.46,1315.14,1829,5
1514970900,1315.14,1315.15,1314.55,1314.64,1657,5
1514971800,1314.65,1314.73,1312.97,1314.07,2426,5
1514972700,1314.08,1314.18,1313.05,1313.25,1918,5
1514973600,1313.25,1313.39,1311.84,1312.49,3118,5
1514974500,1312.49,1313.21,1312.47,1312.98,1938,5
1514975400,1312.97,1314.32,1312.92,1313.78,2524,5
1514976300,1313.79,1313.86,1312.82,1313.71,2758,5
1514977200,1313.71,1314.36,1313.49,1314.35,2351,5
1514978100,1314.35,1315.16,1314.03,1314.87,2833,5
1514979000,1314.87,1315.22,1314.19,1314.59,1449,5
1514979900,1314.59,1315.12,1314.12,1314.41,1389,5
1514980800,1314.41,1314.84,1313.96,1314.64,1646,5
1514981700,1314.64,1314.94,1314.53,1314.63,1145,5
1514982600,1314.62,1314.62,1314.02,1314.16,2183,5
1514983500,1314.16,1314.77,1313.91,1314.68,2216,5
1514984400,1314.66,1315.01,1314.54,1314.56,1224,5
1514985300,1314.56,1314.89,1313.82,1314.16,1490,5
1514986200,1314.18,1314.39,1313.62,1313.87,2176,5
1514987100,1313.88,1314.46,1313.83,1314.08,1927,5
1514988000,1314.08,1314.67,1313.67,1314.05,2187,5
1514988900,1314.04,1314.39,1313.75,1314.28,1699,5
1514989800,1314.28,1314.9,1314.26,1314.87,1019,5
1514990700,1314.87,1316.31,1314.57,1315.72,2910,5
1514991600,1315.71,1317.54,1315.68,1317.51,3384,5
1514992500,1317.5,1317.53,1316.7,1316.83,2251,5
1514993400,1316.84,1316.95,1315.3,1316.71,3756,5
1514994300,1316.71,1317.14,1313.41,1314.86,4678,5
1514995200,1314.87,1315.72,1314.53,1315.41,2734,5
1514996100,1315.41,1316.4,1315.22,1315.27,3814,5
1514997000,1315.26,1316.54,1315.23,1316.23,3051,5
1514997900,1316.23,1316.46,1315.05,1316.43,3657,5
1514998800,1316.43,1317.87,1315.25,1317.11,5357,5
1514999700,1317.1,1317.96,1316.74,1317.61,3515,5
1515000600,1317.6,1317.67,1316.54,1317.55,5354,5
1515001500,1317.53,1317.96,1316.86,1316.96,4571,5
1515002400,1316.93,1316.93,1314.79,1316.44,7109,5
1515003300,1316.45,1316.64,1315.34,1315.56,4526,5
1515004200,1315.55,1317.04,1315.35,1316.66,4496,5
1515005100,1316.73,1317.17,1315.91,1316.56,4908,5
1515006000,1316.55,1317.12,1316.13,1316.32,3404,5
1515006900,1316.33,1316.45,1315.84,1316.04,2938,5
1515007800,1316.04,1317.12,1316.02,1316.68,3032,5
1515008700,1316.68,1317.39,1316.68,1317.05,2721,5
