symbol,tf,bars,rango
XAUUSD_SB,M5,610092,2018-01-02->2026-08-13
XAUUSD_SB,M15,203548,2018-01-02->2026-08-13
XAUUSD_SB,M30,101795,2018-01-02->2026-08-13
XAUUSD_SB,H1,50922,2018-01-02->2026-08-13
NAS100_SB,M5,536537,2019-01-02->2026-08-13
NAS100_SB,M15,202313,2018-01-02->2026-08-13
NAS100_SB,M30,101523,2018-01-02->2026-08-13
NAS100_SB,H1,50792,2018-01-02->2026-08-13
US30_SB,M5,548695,2019-01-02->2026-08-13
US30_SB,M15,206439,2018-01-01->2026-08-13
US30_SB,M30,103333,2018-01-01->2026-08-13
US30_SB,H1,51716,2018-01-01->2026-08-13
US500_SB,M5,547231,2019-01-01->2026-08-13
US500_SB,M15,206291,2018-01-01->2026-08-13
US500_SB,M30,103531,2018-01-01->2026-08-13
US500_SB,H1,51963,2018-01-01->2026-08-13
EURUSD_SB,M5,568321,2019-01-02->2026-08-14
EURUSD_SB,M15,189589,2019-01-02->2026-08-14
EURUSD_SB,M30,107222,2018-01-02->2026-08-14
EURUSD_SB,H1,53617,2018-01-02->2026-08-14
GBPUSD_SB,M5,568219,2019-01-02->2026-08-14
GBPUSD_SB,M15,189584,2019-01-02->2026-08-14
GBPUSD_SB,M30,107222,2018-01-02->2026-08-14
GBPUSD_SB,H1,53617,2018-01-02->2026-08-14
USDJPY_SB,M5,568186,2019-01-02->2026-08-14
USDJPY_SB,M15,214419,2018-01-02->2026-08-14
USDJPY_SB,M30,107220,2018-01-02->2026-08-14
USDJPY_SB,H1,53617,2018-01-02->2026-08-14
