ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,ema200,body_atr,spread_points,spread_atr_frac,session_hour_utc
2026-08-19T07:00:04.240707+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,OPEN,,53409.6,63.87413270508599,53631.434203586745,1.541,20,0.0313,7
2026-08-19T13:00:06.736907+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,OPEN,,53642.4,77.44628646547073,53621.27842910813,2.678,20,0.0258,13
2026-08-19T16:00:01.021724+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,OPEN,,53524.0,102.29354641569277,53623.04780069236,-1.814,20,0.0196,16
2026-08-20T08:00:07.002622+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,BLOCKED,position_already_open,53433.6,69.98589785434761,53600.3149360361,-1.242,20,0.0286,8
2026-08-20T12:00:00.561161+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,BLOCKED,position_already_open,53197.4,81.83568899983933,53591.02836403414,-2.872,20,0.0244,12
2026-08-20T13:00:06.670948+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,OPEN,,53068.4,88.14028264270523,53586.10556828999,-1.469,20,0.0227,13
2026-08-20T18:00:07.834481+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,OPEN,,52939.0,113.07851874081555,53564.91338681326,-1.336,20,0.0177,18
2026-08-21T19:00:01.509405+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,OPEN,,53324.9,89.48216782405557,53441.5630067995,1.233,20,0.0224,19
2026-08-24T14:00:01.408429+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,OPEN,,53451.2,90.75542633641032,53401.76413948878,2.206,20,0.022,14
2026-08-25T07:00:07.800649+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53547.0,73.17697787037395,53420.370257389666,1.287,20,0.0273,7
2026-08-25T09:00:03.986898+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53586.0,79.99851663313169,53424.37383894043,1.308,20,0.025,9
2026-08-25T10:00:06.900437+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53705.3,84.61290830219244,53426.78064304598,1.41,20,0.0236,10
2026-08-25T14:00:00.905546+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,BLOCKED,position_already_open,53450.8,102.55961771186618,53435.64133339865,-2.2,50,0.0488,14
2026-08-26T15:00:02.751495+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,BLOCKED,position_already_open,53482.7,85.72041377882401,53475.6580243174,-1.606,20,0.0233,15
2026-08-26T22:00:04.708296+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53687.0,92.46523083380545,53483.631735702205,2.087,21,0.0227,22
2026-08-27T09:00:09.626007+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,BLOCKED,position_already_open,53483.3,78.62017398614405,53503.17489248673,-1.521,20,0.0254,9
2026-08-27T13:00:02.545145+00:00,v0.4.0,US30_SB,MOMENTUM,SELL,BLOCKED,position_already_open,53361.4,79.19756844070798,53500.57237859527,-1.615,20,0.0253,13
2026-08-27T15:00:09.709047+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53619.2,101.4121891146956,53501.37639531284,1.303,20,0.0197,15
2026-08-28T07:00:09.394108+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53713.8,73.37012370408317,53534.44802383681,1.257,20,0.0273,7
2026-08-28T07:13:32.819566+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53713.8,73.37012370408317,53534.44802383681,1.257,20,0.0273,7
2026-08-28T15:00:06.214518+00:00,v0.4.0,US30_SB,MOMENTUM,BUY,BLOCKED,position_already_open,53772.4,86.75795494156282,53545.81265087493,1.566,20,0.0231,15
