ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,ema200,body_atr,spread_points,spread_atr_frac,session_hour_utc
2026-08-19T13:00:06.591624+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,OPEN,,158.591,0.18717602148122697,159.2931109568738,-2.933,7,0.0374,13
2026-08-19T19:00:01.719132+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,BLOCKED,position_already_open,158.316,0.22094459088445134,159.2424810140222,-1.227,7,0.0317,19
2026-08-20T07:00:02.613020+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,BLOCKED,position_already_open,158.361,0.20879858312928484,159.1419203697785,-1.307,7,0.0335,7
2026-08-21T09:00:02.909759+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,OPEN,,158.526,0.197953534131649,159.06602094595303,-1.5,7,0.0354,9
2026-08-27T10:00:02.746106+00:00,v0.4.0,USDJPY_SB,MOMENTUM,BUY,OPEN,,159.479,0.10583262592296241,159.08498748192844,1.465,10,0.0945,10
2026-08-28T10:00:01.067408+00:00,v0.4.0,USDJPY_SB,MOMENTUM,BUY,OPEN,,159.685,0.0900904186988546,159.1571898795029,1.276,7,0.0777,10
2026-08-28T15:00:05.889555+00:00,v0.4.0,USDJPY_SB,MOMENTUM,BUY,OPEN,,159.87,0.1252495236916871,159.1829345327121,1.565,7,0.0559,15
2026-08-28T17:00:02.244698+00:00,v0.4.0,USDJPY_SB,MOMENTUM,BUY,BLOCKED,position_already_open,160.194,0.14067433420353773,159.19981137808557,1.535,7,0.0498,17
2026-08-31T13:00:01.641815+00:00,v0.4.0,USDJPY_SB,MOMENTUM,BUY,OPEN,,159.877,0.13780130637517224,159.33796784874704,1.299,7,0.0508,13
2026-09-02T14:00:09.336942+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,OPEN,,158.568,0.25352911916087384,159.57381131400075,-4.035,7,0.0276,14
2026-09-03T03:00:00.853441+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,OPEN,,158.027,0.2741029566110413,159.4699184616321,-1.744,7,0.0255,3
2026-09-03T13:00:02.185576+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,OPEN,,155.558,0.4245481977762012,159.21460912210617,-1.246,7,0.0165,13
2026-09-04T00:00:06.583906+00:00,v0.4.0,USDJPY_SB,MOMENTUM,SELL,BLOCKED,position_already_open,155.638,0.3460208860462205,158.83698492193784,-1.393,7,0.0202,0
