ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,ema200,body_atr,spread_points,spread_atr_frac,session_hour_utc
2026-08-19T02:00:08.945358+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,OPEN,,4356.47,16.696057585113596,4339.117627555046,1.113,22,0.0132,2
2026-08-19T13:00:06.698605+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,OPEN,,4438.89,18.910909729089163,4342.111712411596,3.916,18,0.0095,13
2026-08-19T15:00:06.580718+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,BLOCKED,position_already_open,4488.21,22.210019103144298,4344.640623653234,1.29,10,0.0045,15
2026-08-20T15:00:08.487452+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,OPEN,,4515.9,19.28407459531592,4374.656990960151,1.777,16,0.0083,15
2026-08-21T02:00:05.816290+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,BLOCKED,position_already_open,4530.75,18.746608483757576,4388.290658329196,1.078,22,0.0117,2
2026-08-21T09:00:03.242806+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,BLOCKED,position_already_open,4583.99,18.98575560542522,4399.426670367229,1.039,15,0.0079,9
2026-08-21T16:00:01.410599+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,OPEN,,4614.64,21.02503986979467,4412.56098600798,1.094,16,0.0076,16
2026-08-27T02:00:07.424662+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,OPEN,,4640.22,19.53186632038188,4532.262889624372,1.811,23,0.0118,2
2026-08-28T07:00:09.249249+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,OPEN,,4612.66,18.00765176570542,4548.937127595018,2.182,17,0.0094,7
2026-08-28T07:13:32.712165+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,BUY,BLOCKED,position_already_open,4612.66,18.00765176570542,4548.937127595018,2.182,20,0.0111,7
2026-08-28T16:00:09.358240+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,SELL,OPEN,,4524.57,25.880984122008485,4554.0626038334485,-2.012,19,0.0073,16
2026-08-28T17:00:02.419563+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,SELL,OPEN,,4479.66,28.711628113293692,4553.275661687707,-1.561,19,0.0066,17
2026-09-01T09:00:06.730962+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,SELL,OPEN,,4370.84,20.311873424945837,4518.489882191868,-2.415,20,0.0098,9
2026-09-02T02:00:01.685626+00:00,v0.4.0,XAUUSD_SB,MOMENTUM,SELL,BLOCKED,position_already_open,4291.11,19.84147103143952,4494.0503265459365,-1.236,22,0.0111,2
