ts_utc,version,symbol,direction,lot,entry,sl,tp,sl_distance,risk_money,risk_actual,lot_capped,margin_required,margin_free,atr,adx_h1,ker,regime,session_hour_utc,pattern,retcode,order,broker_comment,comment
2026-08-18T13:13:03.406799+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,1.6,4394.27,4390.39,4402.04,3.884080241370585,63.31,6.21,True,351.54,456.72,2.5893868275803897,15.901288896274991,0.18083285795780282,CHOP,13,FAKEY,10009,84806070,Request executed,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T13:28:04.266849+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,0.0,4390.76,4386.87,4398.53,3.887238285611726,62.65,0.0,True,3534.56,19.33,2.591492190407817,15.901288896274991,0.004897159647423177,CHOP,13,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T13:42:00.384071+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,1.0,4403.13,4397.11,4415.16,6.016051140620784,63.02,6.02,True,220.16,283.76,4.010700760413856,15.901288896274991,0.7094133697134184,CHOP,13,FAKEY,10009,84817969,Request executed,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T13:50:00.863697+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,0.0,4395.08,4389.08,4407.08,5.998997599272289,62.53,0.0,True,2285.44,146.78,3.9993317328481925,15.901288896274991,0.4353854686633872,CHOP,13,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T14:11:02.604570+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,0.0,4398.32,4393.02,4408.92,5.298432605983863,62.1,0.0,True,2573.02,176.43,3.532288403989242,16.494638830916596,0.07481125600550222,CHOP,14,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T14:30:03.788949+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,0.0,4393.41,4388.74,4402.75,4.672465867322845,63.29,0.0,True,2965.55,183.94,3.1149772448818966,16.494638830916596,0.625623960066541,CHOP,14,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T15:04:01.254629+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,1.9,4373.02,4366.16,4386.75,6.864818931052527,61.42,13.04,True,415.44,536.63,4.576545954035018,17.852414163464744,0.1692307692307522,CHOP,15,FAKEY,10009,84845865,Request executed,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T15:28:03.318131+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,0.0,4356.58,4350.65,4368.44,5.928529454653796,60.01,0.0,True,2200.07,81.09,3.9523529697691973,17.852414163464744,0.4490566037735901,CHOP,15,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T15:37:03.927539+00:00,v0.3.0-xaufakey,XAUUSD_SB,SELL,2.3,4357.93,4363.75,4346.29,5.818990421798384,59.88,13.38,True,501.16,653.68,3.8793269478655894,17.852414163464744,0.15657311669127744,CHOP,15,FAKEY,10009,84855657,Request executed,v0.3.0-xaufakey|FAKEY|CHOP
2026-08-18T16:06:00.695437+00:00,v0.3.0-xaufakey,XAUUSD_SB,BUY,3.4,4369.09,4365.71,4375.84,3.3752984834293622,61.05,11.48,True,742.75,931.15,2.250198988952908,19.730298500889944,0.6825396825394118,CHOP,16,FAKEY,10009,84861158,Request executed,v0.3.0-xaufakey|FAKEY|CHOP
