ts_utc,version,symbol,direction,lot,entry,sl,tp,sl_distance,risk_money,risk_actual,lot_capped,margin_required,margin_free,atr,adx_h1,ker,regime,session_hour_utc,pattern,retcode,order,broker_comment,comment
2026-07-30T15:38:53.651873+00:00,v0.3.0,AUDJPY_SB,SELL,14.4,111.841,111.907,111.708,0.06642948349115696,101.25,95.66,True,8052.55,10124.66,0.044286322327437976,29.524316067029904,0.33663366336635264,BEAR,15,ENGULFING,10009,81646177,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T15:56:00.228004+00:00,v0.3.0,AUDJPY_SB,BUY,0.4,111.976,111.921,112.086,0.0550301905423486,98.73,2.2,True,223.95,306.29,0.03668679369489907,29.524316067029904,0.47417840375581466,BEAR,15,ENGULFING,10009,81648847,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T17:47:04.953704+00:00,v0.3.0,AUDJPY_SB,SELL,0.0,111.721,111.885,111.392,0.1643683900100413,96.06,0.0,True,3239.91,32.74,0.10957892667336087,35.28659758293348,0.192139737991262,BEAR,17,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0|FAKEY|BEAR
2026-07-30T17:49:01.130630+00:00,v0.3.0,AUDJPY_SB,BUY,0.0,111.731,111.577,112.039,0.1541926424098328,96.06,0.0,True,3463.66,14.22,0.10279509493988853,35.28659758293348,0.0342275670675216,BEAR,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BEAR
2026-07-30T18:01:03.595350+00:00,v0.3.0,AUDJPY_SB,BUY,0.6,111.81,111.703,112.024,0.10695990039564097,96.35,6.42,True,335.43,465.85,0.07130660026376065,37.901295705969154,0.23913043478263557,BEAR,18,ENGULFING,10009,81665596,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T18:15:02.315603+00:00,v0.3.0,AUDJPY_SB,SELL,0.1,111.699,111.775,111.548,0.07572493234031455,95.78,0.76,True,55.85,137.31,0.050483288226876366,37.901295705969154,0.23144104803490903,BEAR,18,ENGULFING,10009,81666461,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T18:22:01.739985+00:00,v0.3.0,AUDJPY_SB,BUY,0.1,111.795,111.729,111.926,0.06567252253374217,95.66,0.66,True,55.9,95.1,0.043781681689161446,37.901295705969154,0.42857142857141045,BEAR,18,ENGULFING,10009,81667489,Request executed,v0.3.0|ENGULFING|BEAR
2026-08-11T04:35:00.599669+00:00,v0.3.0,AUDJPY_SB,SELL,14.0,112.245,112.308,112.12,0.0626527030960372,98.37,87.71,True,7857.15,9837.24,0.04176846873069146,20.30440451032105,0.26635514018691,BULL,4,ENGULFING,10009,83364837,Request executed,v0.3.0|ENGULFING|BULL
2026-08-11T04:38:02.441936+00:00,v0.3.0,AUDJPY_SB,BUY,2.7,112.306,112.245,112.428,0.06106504690122162,97.49,16.49,True,1516.13,1941.33,0.04071003126748108,20.30440451032105,0.17982456140352476,BULL,4,ENGULFING,10009,83365238,Request executed,v0.3.0|ENGULFING|BULL
2026-08-11T04:39:03.059960+00:00,v0.3.0,AUDJPY_SB,SELL,2.2,112.247,112.309,112.124,0.06173897212363413,97.33,13.58,True,1234.72,1582.85,0.04115931474908942,20.30440451032105,0.26122448979592133,BULL,4,ENGULFING,10009,83365309,Request executed,v0.3.0|ENGULFING|BULL
2026-08-12T09:27:00.831340+00:00,v0.3.0,AUDJPY_SB,SELL,1.0,112.343,112.402,112.225,0.058768517016040966,93.71,5.88,True,561.72,748.72,0.03917901134402731,6.761517421228929,0.6095617529880027,CHOP,9,FAKEY,10009,83591839,Request executed,v0.3.0|FAKEY|CHOP
2026-08-12T09:40:04.700419+00:00,v0.3.0,AUDJPY_SB,SELL,0.0,112.379,112.427,112.283,0.047820194905658954,93.63,0.0,True,10956.95,37.33,0.03188012993710597,6.761517421228929,0.14666666666668435,CHOP,9,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|CHOP
2026-08-12T09:42:00.865425+00:00,v0.3.0,AUDJPY_SB,SELL,0.0,112.381,112.425,112.293,0.04391129050574784,93.63,0.0,True,11968.58,15.64,0.029274193670498556,6.761517421228929,0.04827586206899661,CHOP,9,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0|FAKEY|CHOP
2026-08-12T12:40:03.516966+00:00,v0.3.0,AUDJPY_SB,SELL,0.0,112.546,112.608,112.422,0.06204511375610838,90.6,0.0,True,8215.86,33.43,0.04136340917073892,13.623070296886311,0.3090909090909655,CHOP,12,SWEEP,-2,,SKIPPED_MARGIN,v0.3.0|SWEEP|CHOP
2026-08-12T12:50:01.617371+00:00,v0.3.0,AUDJPY_SB,SELL,0.1,112.541,112.601,112.422,0.05974509559406893,90.0,0.6,True,56.27,120.89,0.039830063729379285,13.623070296886311,0.027027027027030488,CHOP,12,ENGULFING,10009,83620705,Request executed,v0.3.0|ENGULFING|CHOP
2026-08-12T12:53:03.983940+00:00,v0.3.0,AUDJPY_SB,BUY,1.2,112.597,112.539,112.712,0.057749808679082124,89.89,6.93,True,675.58,871.73,0.03849987245272141,13.623070296886311,0.25000000000009653,CHOP,12,ENGULFING,10009,83621347,Request executed,v0.3.0|ENGULFING|CHOP
