ts_utc,version,symbol,direction,lot,entry,sl,tp,sl_distance,risk_money,risk_actual,lot_capped,margin_required,margin_free,atr,adx_h1,ker,regime,session_hour_utc,pattern,retcode,order,broker_comment,comment
2026-07-30T15:39:04.352525+00:00,v0.3.0,AUDUSD_SB,BUY,0.0,0.70189,0.70164,0.70239,0.0002475150245012049,101.25,0.0,True,14353.65,41.95,0.0001650100163341366,36.156625246300514,0.6310679611648581,BULL,15,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0|FAKEY|BULL
2026-07-30T15:42:01.291510+00:00,v0.3.0,AUDUSD_SB,BUY,0.1,0.70197,0.70173,0.70244,0.00023741818834650117,100.95,0.24,True,35.1,71.65,0.00015827879223100078,36.156625246300514,0.6491228070174653,BULL,15,ENGULFING,10009,81646578,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:11:05.030784+00:00,v0.3.0,AUDUSD_SB,SELL,0.2,0.70253,0.70278,0.70204,0.0002460450713510316,97.98,0.49,True,70.25,126.99,0.00016403004756735442,38.36745808526767,0.2244897959183951,BULL,16,ENGULFING,10009,81651789,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:22:01.851604+00:00,v0.3.0,AUDUSD_SB,BUY,0.0,0.70285,0.70263,0.70328,0.000216186082877457,97.85,0.0,True,15884.41,29.86,0.000144124055251638,38.36745808526767,0.5217391304346777,BULL,16,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0|FAKEY|BULL
2026-07-30T16:23:02.446526+00:00,v0.3.0,AUDUSD_SB,SELL,0.0,0.70273,0.70294,0.7023,0.00021360136265049536,97.85,0.0,True,16092.52,-8.33,0.00014240090843366357,38.36745808526767,0.2363636363635483,BULL,16,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BULL
2026-07-30T16:26:04.332261+00:00,v0.3.0,AUDUSD_SB,SELL,9.5,0.70261,0.70282,0.7022,0.00020720925428339916,97.34,19.68,True,3337.4,4175.9,0.00013813950285559943,38.36745808526767,0.0384615384615631,BULL,16,ENGULFING,10009,81653712,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:33:03.652457+00:00,v0.3.0,AUDUSD_SB,BUY,9.3,0.70281,0.70263,0.70317,0.0001799544614084406,96.95,16.74,True,3268.07,4122.25,0.00011996964093896041,38.36745808526767,0.05263157894739918,BULL,16,ENGULFING,10009,81654493,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:38:01.834702+00:00,v0.3.0,AUDUSD_SB,SELL,7.5,0.70263,0.7028,0.70229,0.000171218943058704,96.78,12.84,True,2634.86,3306.82,0.000114145962039136,38.36745808526767,0.03225806451633698,BULL,16,ENGULFING,10009,81655056,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:13:03.506410+00:00,v0.3.0,AUDUSD_SB,BUY,0.2,0.70254,0.70239,0.70284,0.0001508936731580882,96.9,0.3,True,70.25,96.36,0.00010059578210539214,40.53833976569243,0.2941176470587851,BULL,17,SWEEP,10009,81659392,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:38:04.040320+00:00,v0.3.0,AUDUSD_SB,SELL,0.3,0.70253,0.70272,0.70216,0.0001853350846922239,96.38,0.56,True,105.38,134.63,0.00012355672312814927,40.53833976569243,0.3333333333334406,BULL,17,SWEEP,10009,81662104,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:42:01.652660+00:00,v0.3.0,AUDUSD_SB,SELL,0.1,0.70272,0.70293,0.70231,0.00020643482802904835,96.16,0.21,True,35.14,45.91,0.00013762321868603222,40.53833976569243,0.5853658536585498,BULL,17,SWEEP,10009,81663023,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:47:04.827210+00:00,v0.3.0,AUDUSD_SB,BUY,0.3,0.70294,0.70272,0.70339,0.00022311224786273807,96.06,0.67,True,105.44,165.37,0.0001487414985751587,40.53833976569243,0.20754716981132865,BULL,17,ENGULFING,10009,81663861,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:50:01.701595+00:00,v0.3.0,AUDUSD_SB,SELL,0.0,0.7027,0.70292,0.70226,0.00021880925969375992,96.06,0.0,True,15424.27,17.12,0.00014587283979583995,40.53833976569243,0.01754385964914331,BULL,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BULL
2026-07-30T17:54:04.176978+00:00,v0.3.0,AUDUSD_SB,SELL,0.0,0.70283,0.70307,0.70236,0.0002366086074796726,96.01,0.0,True,14232.31,-8.36,0.00015773907165311506,40.53833976569243,0.14062500000005962,BULL,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BULL
2026-07-30T17:57:01.059243+00:00,v0.3.0,AUDUSD_SB,BUY,0.0,0.70293,0.7027,0.70338,0.00022677263509723758,96.01,0.0,True,14866.97,-46.68,0.00015118175673149172,40.53833976569243,0.008849557522183018,BULL,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BULL
2026-07-30T18:00:02.897253+00:00,v0.3.0,AUDUSD_SB,BUY,0.0,0.70303,0.70282,0.70345,0.0002077075362183365,96.01,0.0,True,16239.99,-55.32,0.00013847169081222433,42.62480641190665,0.31249999999994216,BULL,18,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BULL
2026-07-30T18:03:04.755306+00:00,v0.3.0,AUDUSD_SB,BUY,0.3,0.70314,0.70295,0.70353,0.00019476620153562526,96.35,0.58,True,105.47,147.42,0.0001298441343570835,42.62480641190665,0.014925373134259108,BULL,18,ENGULFING,10009,81665740,Request executed,v0.3.0|ENGULFING|BULL
