ts_utc,version,symbol,direction,lot,entry,sl,tp,sl_distance,risk_money,risk_actual,lot_capped,margin_required,margin_free,atr,adx_h1,ker,regime,session_hour_utc,pattern,retcode,order,broker_comment,comment
2026-07-30T15:40:04.935991+00:00,v0.3.0,EURUSD_SB,BUY,0.0,1.15215,1.15184,1.15278,0.0003141176181532179,101.25,0.0,True,12391.14,20.86,0.0002094117454354786,41.45170828810979,0.44715447154473303,BULL,15,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BULL
2026-07-30T15:42:01.213660+00:00,v0.3.0,EURUSD_SB,BUY,3.2,1.15221,1.15191,1.15281,0.00030015753818209986,100.95,9.61,True,1231.48,1571.1,0.00020010502545473325,41.45170828810979,0.7714285714287165,BULL,15,ENGULFING,10009,81646576,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:22:01.796676+00:00,v0.3.0,EURUSD_SB,BUY,0.1,1.15302,1.15271,1.15364,0.00030840764726303887,97.85,0.31,True,38.51,68.46,0.00020560509817535923,42.996508149743015,0.3043478260867886,BULL,16,ENGULFING,10009,81653172,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:32:02.950518+00:00,v0.3.0,EURUSD_SB,SELL,0.3,1.1529,1.15316,1.15238,0.00025755627498176233,97.25,0.77,True,115.52,175.91,0.0001717041833211749,42.996508149743015,0.1111111111111111,BULL,16,ENGULFING,10009,81654395,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:55:02.360334+00:00,v0.3.0,EURUSD_SB,BUY,4.0,1.15243,1.15224,1.1528,0.00018574959606366351,98.53,7.43,True,1539.65,1925.99,0.00012383306404244233,42.996508149743015,0.6666666666663583,BULL,16,SWEEP,10009,81657279,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:07:04.820523+00:00,v0.3.0,EURUSD_SB,SELL,0.0,1.15242,1.15263,1.152,0.00020942631307956588,97.69,0.0,True,17936.73,42.54,0.00013961754205304392,44.55573688005046,0.03921568627453968,BULL,17,FAKEY,-2,,SKIPPED_MARGIN,v0.3.0|FAKEY|BULL
2026-07-30T17:17:00.916673+00:00,v0.3.0,EURUSD_SB,BUY,2.5,1.15206,1.15185,1.15247,0.0002070847708495056,96.79,5.18,True,961.97,1207.44,0.0001380565138996704,44.55573688005046,0.5121951219512988,BULL,17,SWEEP,10009,81659769,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:24:05.223905+00:00,v0.3.0,EURUSD_SB,SELL,1.1,1.15194,1.15212,1.15158,0.0001801739186361204,96.9,1.98,True,423.22,539.51,0.00012011594575741361,44.55573688005046,0.4736842105261518,BULL,17,ENGULFING,10009,81660371,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:37:03.303871+00:00,v0.3.0,EURUSD_SB,BUY,5.2,1.15236,1.1521,1.15287,0.0002572859237549059,96.57,13.38,True,2001.42,2510.1,0.00017152394916993729,44.55573688005046,0.24031007751936118,BULL,17,ENGULFING,10009,81661849,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:38:03.957686+00:00,v0.3.0,EURUSD_SB,SELL,4.9,1.15208,1.15236,1.15152,0.00028069407207242567,96.38,13.75,True,1885.49,2382.92,0.00018712938138161711,44.55573688005046,0.1451612903225951,BULL,17,SWEEP,10009,81662100,Request executed,v0.3.0|SWEEP|BULL
