ts_utc,version,symbol,direction,lot,entry,sl,tp,sl_distance,risk_money,risk_actual,lot_capped,margin_required,margin_free,atr,adx_h1,ker,regime,session_hour_utc,pattern,retcode,order,broker_comment,comment
2026-07-30T15:42:01.318692+00:00,v0.3.0,USDCAD_SB,SELL,0.0,1.40077,1.40106,1.40018,0.00029439816264687434,100.95,0.0,True,16000.72,36.49,0.00019626544176458291,35.021084454999176,0.2481203007517843,BEAR,15,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BEAR
2026-07-30T15:44:02.544134+00:00,v0.3.0,USDCAD_SB,SELL,0.3,1.40075,1.40103,1.40018,0.0002846086197899018,100.91,0.85,True,140.36,188.06,0.00018973907985993452,35.021084454999176,0.009900990098848825,BEAR,15,ENGULFING,10009,81646929,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T15:52:02.617840+00:00,v0.3.0,USDCAD_SB,SELL,0.9,1.40025,1.40054,1.39967,0.00029224734260099584,99.8,2.63,True,420.92,568.9,0.00019483156173399723,35.021084454999176,0.5604395604393191,BEAR,15,ENGULFING,10009,81648238,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T15:58:01.448205+00:00,v0.3.0,USDCAD_SB,BUY,0.2,1.4004400000000001,1.40015,1.40102,0.0002902041485057429,98.53,0.58,True,93.55,144.14,0.0001934694323371619,35.021084454999176,0.2913385826771268,BEAR,15,ENGULFING,10009,81649064,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T16:04:05.382718+00:00,v0.3.0,USDCAD_SB,SELL,0.1,1.40001,1.4003,1.39942,0.00029287264192908775,97.69,0.29,True,46.76,71.68,0.00019524842795272518,36.34711846287772,0.3543307086614366,BEAR,16,ENGULFING,10009,81650531,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T16:13:01.242110+00:00,v0.3.0,USDCAD_SB,BUY,2.1,1.40046,1.40017,1.40104,0.00029029235565963715,98.26,6.1,True,982.28,1278.36,0.00019352823710642477,36.34711846287772,0.14814814814800348,BEAR,16,ENGULFING,10009,81652156,Request executed,v0.3.0|ENGULFING|BEAR
2026-07-30T16:19:05.007775+00:00,v0.3.0,USDCAD_SB,SELL,1.1,1.40032,1.40058,1.39979,0.0002626749901901337,97.85,2.89,True,514.48,678.26,0.00017511666012675578,36.34711846287772,0.13043478260875863,BEAR,16,FAKEY,10009,81652805,Request executed,v0.3.0|FAKEY|BEAR
2026-07-30T17:42:01.687309+00:00,v0.3.0,USDCAD_SB,BUY,0.0,1.39985,1.39957,1.4004,0.000275504636398133,96.16,0.0,True,16317.49,10.71,0.00018366975759875534,37.82082649773393,0.5586206896553287,BEAR,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BEAR
2026-07-30T17:50:01.725206+00:00,v0.3.0,USDCAD_SB,BUY,0.0,1.3998599999999999,1.39955,1.40047,0.0003057083459159091,96.06,0.0,True,14681.17,17.12,0.0002038055639439394,37.82082649773393,0.09589041095893744,BEAR,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BEAR
2026-07-30T17:54:04.192869+00:00,v0.3.0,USDCAD_SB,BUY,0.0,1.39964,1.39931,1.4003,0.00033099883035448644,96.01,0.0,True,13556.91,-8.26,0.00022066588690299095,37.82082649773393,0.21052631578936604,BEAR,17,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|BEAR
2026-08-12T12:40:03.412896+00:00,v0.3.0,USDCAD_SB,SELL,0.0,1.39144,1.39183,1.39065,0.0003937430478804007,90.6,0.0,True,10689.04,31.59,0.0002624953652536005,13.244977984036062,0.2653061224489935,CHOP,12,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|CHOP
2026-08-12T12:42:05.447483+00:00,v0.3.0,USDCAD_SB,BUY,0.1,1.39168,1.39128,1.39248,0.00040118660761984386,90.58,0.4,True,46.48,64.66,0.00026745773841322924,13.244977984036062,0.557522123893468,CHOP,12,ENGULFING,10009,83617734,Request executed,v0.3.0|ENGULFING|CHOP
2026-08-12T12:51:02.463276+00:00,v0.3.0,USDCAD_SB,SELL,0.0,1.39144,1.39181,1.39069,0.0003748969280342789,90.0,0.0,True,11153.78,25.84,0.00024993128535618595,13.244977984036062,0.13475177304972805,CHOP,12,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|CHOP
2026-08-12T12:57:01.860409+00:00,v0.3.0,USDCAD_SB,BUY,0.0,1.39138,1.39103,1.39207,0.00034697251152537053,89.89,0.0,True,12036.27,-49.11,0.00023131500768358034,13.244977984036062,0.5495495495494667,CHOP,12,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|CHOP
2026-08-12T12:59:03.243848+00:00,v0.3.0,USDCAD_SB,BUY,0.0,1.39134,1.39102,1.39199,0.00032389466557111377,89.89,0.0,True,12872.4,-15.98,0.00021592977704740918,13.244977984036062,0.4343434343436654,CHOP,12,ENGULFING,-2,,SKIPPED_MARGIN,v0.3.0|ENGULFING|CHOP
2026-08-12T13:00:03.947903+00:00,v0.3.0,USDCAD_SB,SELL,0.5,1.39107,1.39139,1.39043,0.00032218790370531494,89.85,1.61,True,232.31,345.68,0.00021479193580354328,14.63530337356417,0.5887850467290612,CHOP,13,ENGULFING,10009,83623503,Request executed,v0.3.0|ENGULFING|CHOP
